,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,payments.loan_id,subquery_2.loan_id,,file_1,0,1,8.0,14,loan_id,loan_id,aliceblue
1,subquery_2.loan_id,query_CUSTOMER_BANK_DETAILS.loan_id,,file_1,0,1,14.0,18,loan_id,loan_id,aliceblue
2,payments.payment_amount,subquery_2.payment_amount,,file_1,0,1,8.0,14,payment_amount,payment_amount,aliceblue
3,"subquery_2.['payment_amount', 'interest_rate']",query_CUSTOMER_BANK_DETAILS.total_interest,"SUM(MUL(payment_amount, (DIV(DIV(interest_rate, 100), 12))))",file_1,0,1,14.0,18,"['payment_amount', 'interest_rate']",total_interest,orangered
4,loans.interest_rate,subquery_2.interest_rate,,file_1,0,1,15.0,14,interest_rate,interest_rate,aliceblue
5,transactions.account_id,subquery_1.account_id,,file_1,0,1,17.0,16,account_id,account_id,aliceblue
6,subquery_1.account_id,query_CUSTOMER_BANK_DETAILS.account_id,,file_1,0,1,16.0,18,account_id,account_id,aliceblue
7,transactions.amount,subquery_1.amount,,file_1,0,1,17.0,16,amount,amount,aliceblue
8,subquery_1.['amount'],query_CUSTOMER_BANK_DETAILS.total_transactions_amount,SUM(amount),file_1,0,1,16.0,18,['amount'],total_transactions_amount,orangered
9,customers.customer_id,query_CUSTOMER_BANK_DETAILS.customer_id,,file_1,0,1,12.0,18,customer_id,customer_id,aliceblue
10,query_CUSTOMER_BANK_DETAILS.customer_id,CUSTOMER_BANK_DETAILS.customer_id,,file_1,0,1,18.0,19,customer_id,customer_id,aliceblue
11,customers.first_name,query_CUSTOMER_BANK_DETAILS.first_name,,file_1,0,1,12.0,18,first_name,first_name,aliceblue
12,query_CUSTOMER_BANK_DETAILS.first_name,CUSTOMER_BANK_DETAILS.first_name,,file_1,0,1,18.0,19,first_name,first_name,aliceblue
13,customers.last_name,query_CUSTOMER_BANK_DETAILS.last_name,,file_1,0,1,12.0,18,last_name,last_name,aliceblue
14,query_CUSTOMER_BANK_DETAILS.last_name,CUSTOMER_BANK_DETAILS.last_name,,file_1,0,1,18.0,19,last_name,last_name,aliceblue
15,customers.email,query_CUSTOMER_BANK_DETAILS.email,,file_1,0,1,12.0,18,email,email,aliceblue
16,query_CUSTOMER_BANK_DETAILS.email,CUSTOMER_BANK_DETAILS.email,,file_1,0,1,18.0,19,email,email,aliceblue
17,accounts.account_id,query_CUSTOMER_BANK_DETAILS.account_id,,file_1,0,1,20.0,18,account_id,account_id,aliceblue
18,query_CUSTOMER_BANK_DETAILS.account_id,CUSTOMER_BANK_DETAILS.account_id,,file_1,0,1,18.0,19,account_id,account_id,aliceblue
19,accounts.balance,query_CUSTOMER_BANK_DETAILS.balance,,file_1,0,1,20.0,18,balance,balance,aliceblue
20,query_CUSTOMER_BANK_DETAILS.balance,CUSTOMER_BANK_DETAILS.balance,,file_1,0,1,18.0,19,balance,balance,aliceblue
21,account_types.account_type_name,query_CUSTOMER_BANK_DETAILS.account_type_name,,file_1,0,1,,18,account_type_name,account_type_name,aliceblue
22,query_CUSTOMER_BANK_DETAILS.account_type_name,CUSTOMER_BANK_DETAILS.account_type_name,,file_1,0,1,18.0,19,account_type_name,account_type_name,aliceblue
23,branches.branch_name,query_CUSTOMER_BANK_DETAILS.branch_name,,file_1,0,1,,18,branch_name,branch_name,aliceblue
24,query_CUSTOMER_BANK_DETAILS.branch_name,CUSTOMER_BANK_DETAILS.branch_name,,file_1,0,1,18.0,19,branch_name,branch_name,aliceblue
25,branches.branch_city,query_CUSTOMER_BANK_DETAILS.branch_city,,file_1,0,1,,18,branch_city,branch_city,aliceblue
26,query_CUSTOMER_BANK_DETAILS.branch_city,CUSTOMER_BANK_DETAILS.branch_city,,file_1,0,1,18.0,19,branch_city,branch_city,aliceblue
27,recent_transactions.total_transactions_amount,query_CUSTOMER_BANK_DETAILS.total_transactions_amount,,file_1,0,1,,18,total_transactions_amount,total_transactions_amount,aliceblue
28,query_CUSTOMER_BANK_DETAILS.total_transactions_amount,CUSTOMER_BANK_DETAILS.total_transactions_amount,,file_1,0,1,18.0,19,total_transactions_amount,total_transactions_amount,aliceblue
29,loans.loan_id,query_CUSTOMER_BANK_DETAILS.loan_id,,file_1,0,1,15.0,18,loan_id,loan_id,aliceblue
30,query_CUSTOMER_BANK_DETAILS.loan_id,CUSTOMER_BANK_DETAILS.loan_id,,file_1,0,1,18.0,19,loan_id,loan_id,aliceblue
31,loans.loan_amount,query_CUSTOMER_BANK_DETAILS.loan_amount,,file_1,0,1,15.0,18,loan_amount,loan_amount,aliceblue
32,query_CUSTOMER_BANK_DETAILS.loan_amount,CUSTOMER_BANK_DETAILS.loan_amount,,file_1,0,1,18.0,19,loan_amount,loan_amount,aliceblue
33,loans.interest_rate,query_CUSTOMER_BANK_DETAILS.interest_rate,,file_1,0,1,15.0,18,interest_rate,interest_rate,aliceblue
34,query_CUSTOMER_BANK_DETAILS.interest_rate,CUSTOMER_BANK_DETAILS.interest_rate,,file_1,0,1,18.0,19,interest_rate,interest_rate,aliceblue
35,total_interest_paid.total_interest,query_CUSTOMER_BANK_DETAILS.total_interest,,file_1,0,1,,18,total_interest,total_interest,aliceblue
36,query_CUSTOMER_BANK_DETAILS.['total_interest'],CUSTOMER_BANK_DETAILS.total_interest_paid,TYPE_CONVERSION(total_interest),file_1,0,1,18.0,19,['total_interest'],total_interest_paid,orangered
