,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,orders.customer_id,subquery_5.customer_id,,file_0,0,1,1.0,0,customer_id,customer_id,aliceblue
1,subquery_5.customer_id,query_CUSTOMER_ORDER.customer_id,,file_0,0,1,0.0,10,customer_id,customer_id,aliceblue
2,orders.total_amount,subquery_5.total_amount,,file_0,0,1,1.0,0,total_amount,total_amount,aliceblue
3,subquery_5.['total_amount'],query_CUSTOMER_ORDER.total_spent,SUM(total_amount),file_0,0,1,0.0,10,['total_amount'],total_spent,orangered
4,reviews.product_id,subquery_4.product_id,,file_0,0,1,3.0,2,product_id,product_id,aliceblue
5,subquery_4.product_id,query_CUSTOMER_ORDER.product_id,,file_0,0,1,2.0,10,product_id,product_id,aliceblue
6,reviews.rating,subquery_4.rating,,file_0,0,1,3.0,2,rating,rating,aliceblue
7,subquery_4.['rating'],query_CUSTOMER_ORDER.avg_rating,AVG(rating),file_0,0,1,2.0,10,['rating'],avg_rating,orangered
8,order_items.order_id,subquery_3.order_id,,file_0,0,1,5.0,4,order_id,order_id,aliceblue
9,subquery_3.order_id,query_CUSTOMER_ORDER.order_id,,file_0,0,1,4.0,10,order_id,order_id,aliceblue
10,products.product_name,subquery_3.product_name,,file_0,0,1,6.0,4,product_name,product_name,aliceblue
11,subquery_3.product_name,query_CUSTOMER_ORDER.product_name,,file_0,0,1,4.0,10,product_name,product_name,aliceblue
12,categories.category_name,subquery_3.category_name,,file_0,0,1,,4,category_name,category_name,aliceblue
13,subquery_3.category_name,query_CUSTOMER_ORDER.category_name,,file_0,0,1,4.0,10,category_name,category_name,aliceblue
14,order_items.quantity,subquery_3.quantity,,file_0,0,1,5.0,4,quantity,quantity,aliceblue
15,subquery_3.quantity,query_CUSTOMER_ORDER.quantity,,file_0,0,1,4.0,10,quantity,quantity,aliceblue
16,order_items.unit_price,subquery_3.unit_price,,file_0,0,1,5.0,4,unit_price,unit_price,aliceblue
17,subquery_3.unit_price,query_CUSTOMER_ORDER.unit_price,,file_0,0,1,4.0,10,unit_price,unit_price,aliceblue
18,"subquery_3.['quantity', 'unit_price']",query_CUSTOMER_ORDER.total_item_amount,"(MUL(quantity, unit_price))",file_0,0,1,4.0,10,"['quantity', 'unit_price']",total_item_amount,orangered
19,payments.order_id,subquery_2.order_id,,file_0,0,1,8.0,7,order_id,order_id,aliceblue
20,subquery_2.order_id,query_CUSTOMER_ORDER.order_id,,file_0,0,1,7.0,10,order_id,order_id,aliceblue
21,payments.payment_amount,subquery_2.payment_amount,,file_0,0,1,8.0,7,payment_amount,payment_amount,aliceblue
22,subquery_2.['payment_amount'],query_CUSTOMER_ORDER.total_payment_amount,SUM(payment_amount),file_0,0,1,7.0,10,['payment_amount'],total_payment_amount,orangered
23,orders.order_id,subquery_1.order_id,,file_0,0,1,1.0,9,order_id,order_id,aliceblue
24,subquery_1.order_id,query_CUSTOMER_ORDER.order_id,,file_0,0,1,9.0,10,order_id,order_id,aliceblue
25,orders.customer_id,subquery_1.customer_id,,file_0,0,1,1.0,9,customer_id,customer_id,aliceblue
26,subquery_1.customer_id,query_CUSTOMER_ORDER.customer_id,,file_0,0,1,9.0,10,customer_id,customer_id,aliceblue
27,orders.order_date,subquery_1.order_date,,file_0,0,1,1.0,9,order_date,order_date,aliceblue
28,subquery_1.order_date,query_CUSTOMER_ORDER.order_date,,file_0,0,1,9.0,10,order_date,order_date,aliceblue
29,orders.total_amount,subquery_1.total_amount,,file_0,0,1,1.0,9,total_amount,total_amount,aliceblue
30,subquery_1.['total_amount'],query_CUSTOMER_ORDER.total_order_amount,total_amount,file_0,0,1,9.0,10,['total_amount'],total_order_amount,orangered
31,customers.customer_id,query_CUSTOMER_ORDER.customer_id,,file_0,0,1,12.0,10,customer_id,customer_id,aliceblue
32,query_CUSTOMER_ORDER.customer_id,CUSTOMER_ORDER.customer_id,,file_0,0,1,10.0,11,customer_id,customer_id,aliceblue
33,customers.first_name,query_CUSTOMER_ORDER.first_name,,file_0,0,1,12.0,10,first_name,first_name,aliceblue
