,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,subscription_reviews.subscription_id,subquery_3.subscription_id,,file_3,0,1,35.0,34,subscription_id,subscription_id,aliceblue
1,subquery_3.subscription_id,query_CUSTOMER_SUBSCRIPTION_DETAILS.subscription_id,,file_3,0,1,34.0,38,subscription_id,subscription_id,aliceblue
2,subscription_reviews.rating,subquery_3.rating,,file_3,0,1,35.0,34,rating,rating,aliceblue
3,subquery_3.['rating'],query_CUSTOMER_SUBSCRIPTION_DETAILS.avg_rating,AVG(rating),file_3,0,1,34.0,38,['rating'],avg_rating,orangered
4,payments.subscription_id,subquery_2.subscription_id,,file_3,0,1,8.0,36,subscription_id,subscription_id,aliceblue
5,subquery_2.subscription_id,query_CUSTOMER_SUBSCRIPTION_DETAILS.subscription_id,,file_3,0,1,36.0,38,subscription_id,subscription_id,aliceblue
6,payments.payment_date,subquery_2.payment_date,,file_3,0,1,8.0,36,payment_date,payment_date,aliceblue
7,subquery_2.payment_date,query_CUSTOMER_SUBSCRIPTION_DETAILS.payment_date,,file_3,0,1,36.0,38,payment_date,payment_date,aliceblue
8,payments.payment_amount,subquery_2.payment_amount,,file_3,0,1,8.0,36,payment_amount,payment_amount,aliceblue
9,subquery_2.payment_amount,query_CUSTOMER_SUBSCRIPTION_DETAILS.payment_amount,,file_3,0,1,36.0,38,payment_amount,payment_amount,aliceblue
10,payments.subscription_id,subquery_1.subscription_id,,file_3,0,1,8.0,37,subscription_id,subscription_id,aliceblue
11,subquery_1.subscription_id,query_CUSTOMER_SUBSCRIPTION_DETAILS.subscription_id,,file_3,0,1,37.0,38,subscription_id,subscription_id,aliceblue
12,payments.payment_amount,subquery_1.payment_amount,,file_3,0,1,8.0,37,payment_amount,payment_amount,aliceblue
13,subquery_1.['payment_amount'],query_CUSTOMER_SUBSCRIPTION_DETAILS.total_spent,SUM(payment_amount),file_3,0,1,37.0,38,['payment_amount'],total_spent,orangered
14,customers.customer_id,query_CUSTOMER_SUBSCRIPTION_DETAILS.customer_id,,file_3,0,1,12.0,38,customer_id,customer_id,aliceblue
15,query_CUSTOMER_SUBSCRIPTION_DETAILS.customer_id,CUSTOMER_SUBSCRIPTION_DETAILS.customer_id,,file_3,0,1,38.0,39,customer_id,customer_id,aliceblue
16,customers.first_name,query_CUSTOMER_SUBSCRIPTION_DETAILS.first_name,,file_3,0,1,12.0,38,first_name,first_name,aliceblue
17,query_CUSTOMER_SUBSCRIPTION_DETAILS.first_name,CUSTOMER_SUBSCRIPTION_DETAILS.first_name,,file_3,0,1,38.0,39,first_name,first_name,aliceblue
18,customers.last_name,query_CUSTOMER_SUBSCRIPTION_DETAILS.last_name,,file_3,0,1,12.0,38,last_name,last_name,aliceblue
19,query_CUSTOMER_SUBSCRIPTION_DETAILS.last_name,CUSTOMER_SUBSCRIPTION_DETAILS.last_name,,file_3,0,1,38.0,39,last_name,last_name,aliceblue
20,customers.email,query_CUSTOMER_SUBSCRIPTION_DETAILS.email,,file_3,0,1,12.0,38,email,email,aliceblue
21,query_CUSTOMER_SUBSCRIPTION_DETAILS.email,CUSTOMER_SUBSCRIPTION_DETAILS.email,,file_3,0,1,38.0,39,email,email,aliceblue
22,subscriptions.subscription_id,query_CUSTOMER_SUBSCRIPTION_DETAILS.subscription_id,,file_3,0,1,40.0,38,subscription_id,subscription_id,aliceblue
23,query_CUSTOMER_SUBSCRIPTION_DETAILS.subscription_id,CUSTOMER_SUBSCRIPTION_DETAILS.subscription_id,,file_3,0,1,38.0,39,subscription_id,subscription_id,aliceblue
24,subscriptions.subscription_date,query_CUSTOMER_SUBSCRIPTION_DETAILS.subscription_date,,file_3,0,1,40.0,38,subscription_date,subscription_date,aliceblue
25,query_CUSTOMER_SUBSCRIPTION_DETAILS.subscription_date,CUSTOMER_SUBSCRIPTION_DETAILS.subscription_date,,file_3,0,1,38.0,39,subscription_date,subscription_date,aliceblue
26,subscriptions.plan_name,query_CUSTOMER_SUBSCRIPTION_DETAILS.plan_name,,file_3,0,1,40.0,38,plan_name,plan_name,aliceblue
27,query_CUSTOMER_SUBSCRIPTION_DETAILS.plan_name,CUSTOMER_SUBSCRIPTION_DETAILS.plan_name,,file_3,0,1,38.0,39,plan_name,plan_name,aliceblue
28,subscriptions.plan_cost,query_CUSTOMER_SUBSCRIPTION_DETAILS.plan_cost,,file_3,0,1,40.0,38,plan_cost,plan_cost,aliceblue
