,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,market_data.market_date,subquery_5.market_date,,file_2,0,1,22.0,21,market_date,market_date,aliceblue
1,subquery_5.market_date,subquery_4.market_date,,file_2,0,1,21.0,23,market_date,market_date,aliceblue
2,trades.portfolio_id,subquery_4.portfolio_id,,file_2,0,1,24.0,23,portfolio_id,portfolio_id,aliceblue
3,subquery_4.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_2,0,1,23.0,30,portfolio_id,portfolio_id,aliceblue
4,trades.quantity,subquery_4.quantity,,file_2,0,1,24.0,23,quantity,quantity,aliceblue
5,"subquery_4.['quantity', 'closing_price']",query_INVESTOR_OVERVIEW.total_value,"SUM(MUL(quantity, closing_price))",file_2,0,1,23.0,30,"['quantity', 'closing_price']",total_value,orangered
6,market_data.closing_price,subquery_4.closing_price,,file_2,0,1,22.0,23,closing_price,closing_price,aliceblue
7,trades.portfolio_id,subquery_3.portfolio_id,,file_2,0,1,24.0,25,portfolio_id,portfolio_id,aliceblue
8,subquery_3.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_2,0,1,25.0,30,portfolio_id,portfolio_id,aliceblue
9,market_data.closing_price,subquery_3.closing_price,,file_2,0,1,22.0,25,closing_price,closing_price,aliceblue
10,subquery_3.['closing_price'],query_INVESTOR_OVERVIEW.avg_performance,AVG(closing_price),file_2,0,1,25.0,30,['closing_price'],avg_performance,orangered
11,trades.portfolio_id,subquery_2.portfolio_id,,file_2,0,1,24.0,26,portfolio_id,portfolio_id,aliceblue
12,subquery_2.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_2,0,1,26.0,30,portfolio_id,portfolio_id,aliceblue
13,dividends.dividend_amount,subquery_2.dividend_amount,,file_2,0,1,27.0,26,dividend_amount,dividend_amount,aliceblue
14,"subquery_2.['dividend_amount', 'quantity']",query_INVESTOR_OVERVIEW.total_dividends,"SUM(MUL(dividend_amount, quantity))",file_2,0,1,26.0,30,"['dividend_amount', 'quantity']",total_dividends,orangered
15,trades.quantity,subquery_2.quantity,,file_2,0,1,24.0,26,quantity,quantity,aliceblue
16,trades.trade_id,subquery_1.trade_id,,file_2,0,1,24.0,28,trade_id,trade_id,aliceblue
17,subquery_1.trade_id,query_INVESTOR_OVERVIEW.trade_id,,file_2,0,1,28.0,30,trade_id,trade_id,aliceblue
18,trades.portfolio_id,subquery_1.portfolio_id,,file_2,0,1,24.0,28,portfolio_id,portfolio_id,aliceblue
19,subquery_1.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_2,0,1,28.0,30,portfolio_id,portfolio_id,aliceblue
20,stocks.ticker,subquery_1.ticker,,file_2,0,1,29.0,28,ticker,ticker,aliceblue
21,subquery_1.ticker,query_INVESTOR_OVERVIEW.ticker,,file_2,0,1,28.0,30,ticker,ticker,aliceblue
22,stocks.company_name,subquery_1.company_name,,file_2,0,1,29.0,28,company_name,company_name,aliceblue
23,subquery_1.company_name,query_INVESTOR_OVERVIEW.company_name,,file_2,0,1,28.0,30,company_name,company_name,aliceblue
24,trades.trade_date,subquery_1.trade_date,,file_2,0,1,24.0,28,trade_date,trade_date,aliceblue
25,subquery_1.trade_date,query_INVESTOR_OVERVIEW.trade_date,,file_2,0,1,28.0,30,trade_date,trade_date,aliceblue
26,trades.trade_type,subquery_1.trade_type,,file_2,0,1,24.0,28,trade_type,trade_type,aliceblue
27,subquery_1.trade_type,query_INVESTOR_OVERVIEW.trade_type,,file_2,0,1,28.0,30,trade_type,trade_type,aliceblue
28,trades.quantity,subquery_1.quantity,,file_2,0,1,24.0,28,quantity,quantity,aliceblue
29,subquery_1.quantity,query_INVESTOR_OVERVIEW.quantity,,file_2,0,1,28.0,30,quantity,quantity,aliceblue
30,trades.price_per_share,subquery_1.price_per_share,,file_2,0,1,24.0,28,price_per_share,price_per_share,aliceblue
31,subquery_1.price_per_share,query_INVESTOR_OVERVIEW.price_per_share,,file_2,0,1,28.0,30,price_per_share,price_per_share,aliceblue
32,"subquery_1.['quantity', 'price_per_share']",query_INVESTOR_OVERVIEW.total_trade_value,"(MUL(quantity, price_per_share))",file_2,0,1,28.0,30,"['quantity', 'price_per_share']",total_trade_value,orangered
33,investors.investor_id,query_INVESTOR_OVERVIEW.investor_id,,file_2,0,1,32.0,30,investor_id,investor_id,aliceblue
34,query_INVESTOR_OVERVIEW.investor_id,INVESTOR_OVERVIEW.investor_id,,file_2,0,1,30.0,31,investor_id,investor_id,aliceblue
35,investors.first_name,query_INVESTOR_OVERVIEW.first_name,,file_2,0,1,32.0,30,first_name,first_name,aliceblue
36,query_INVESTOR_OVERVIEW.first_name,INVESTOR_OVERVIEW.first_name,,file_2,0,1,30.0,31,first_name,first_name,aliceblue
37,investors.last_name,query_INVESTOR_OVERVIEW.last_name,,file_2,0,1,32.0,30,last_name,last_name,aliceblue
38,query_INVESTOR_OVERVIEW.last_name,INVESTOR_OVERVIEW.last_name,,file_2,0,1,30.0,31,last_name,last_name,aliceblue
39,investors.email,query_INVESTOR_OVERVIEW.email,,file_2,0,1,32.0,30,email,email,aliceblue
40,query_INVESTOR_OVERVIEW.email,INVESTOR_OVERVIEW.email,,file_2,0,1,30.0,31,email,email,aliceblue
41,portfolios.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_2,0,1,33.0,30,portfolio_id,portfolio_id,aliceblue
42,query_INVESTOR_OVERVIEW.portfolio_id,INVESTOR_OVERVIEW.portfolio_id,,file_2,0,1,30.0,31,portfolio_id,portfolio_id,aliceblue
43,portfolios.portfolio_name,query_INVESTOR_OVERVIEW.portfolio_name,,file_2,0,1,33.0,30,portfolio_name,portfolio_name,aliceblue
44,query_INVESTOR_OVERVIEW.portfolio_name,INVESTOR_OVERVIEW.portfolio_name,,file_2,0,1,30.0,31,portfolio_name,portfolio_name,aliceblue
45,recent_trades.trade_id,query_INVESTOR_OVERVIEW.trade_id,,file_2,0,1,,30,trade_id,trade_id,aliceblue
46,query_INVESTOR_OVERVIEW.trade_id,INVESTOR_OVERVIEW.trade_id,,file_2,0,1,30.0,31,trade_id,trade_id,aliceblue
47,recent_trades.trade_date,query_INVESTOR_OVERVIEW.trade_date,,file_2,0,1,,30,trade_date,trade_date,aliceblue
48,query_INVESTOR_OVERVIEW.trade_date,INVESTOR_OVERVIEW.trade_date,,file_2,0,1,30.0,31,trade_date,trade_date,aliceblue
49,recent_trades.ticker,query_INVESTOR_OVERVIEW.ticker,,file_2,0,1,,30,ticker,ticker,aliceblue
50,query_INVESTOR_OVERVIEW.ticker,INVESTOR_OVERVIEW.ticker,,file_2,0,1,30.0,31,ticker,ticker,aliceblue
51,recent_trades.company_name,query_INVESTOR_OVERVIEW.company_name,,file_2,0,1,,30,company_name,company_name,aliceblue
52,query_INVESTOR_OVERVIEW.company_name,INVESTOR_OVERVIEW.company_name,,file_2,0,1,30.0,31,company_name,company_name,aliceblue
53,recent_trades.trade_type,query_INVESTOR_OVERVIEW.trade_type,,file_2,0,1,,30,trade_type,trade_type,aliceblue
54,query_INVESTOR_OVERVIEW.trade_type,INVESTOR_OVERVIEW.trade_type,,file_2,0,1,30.0,31,trade_type,trade_type,aliceblue
55,recent_trades.quantity,query_INVESTOR_OVERVIEW.quantity,,file_2,0,1,,30,quantity,quantity,aliceblue
56,query_INVESTOR_OVERVIEW.quantity,INVESTOR_OVERVIEW.quantity,,file_2,0,1,30.0,31,quantity,quantity,aliceblue
57,recent_trades.price_per_share,query_INVESTOR_OVERVIEW.price_per_share,,file_2,0,1,,30,price_per_share,price_per_share,aliceblue
58,query_INVESTOR_OVERVIEW.price_per_share,INVESTOR_OVERVIEW.price_per_share,,file_2,0,1,30.0,31,price_per_share,price_per_share,aliceblue
59,recent_trades.total_trade_value,query_INVESTOR_OVERVIEW.total_trade_value,,file_2,0,1,,30,total_trade_value,total_trade_value,aliceblue
60,query_INVESTOR_OVERVIEW.total_trade_value,INVESTOR_OVERVIEW.total_trade_value,,file_2,0,1,30.0,31,total_trade_value,total_trade_value,aliceblue
61,dividends_received.total_dividends,query_INVESTOR_OVERVIEW.total_dividends,,file_2,0,1,,30,total_dividends,total_dividends,aliceblue
62,query_INVESTOR_OVERVIEW.['total_dividends'],INVESTOR_OVERVIEW.total_dividends,TYPE_CONVERSION(total_dividends),file_2,0,1,30.0,31,['total_dividends'],total_dividends,orangered
63,average_performance.avg_performance,query_INVESTOR_OVERVIEW.avg_performance,,file_2,0,1,,30,avg_performance,avg_performance,aliceblue
64,query_INVESTOR_OVERVIEW.['avg_performance'],INVESTOR_OVERVIEW.average_performance,TYPE_CONVERSION(avg_performance),file_2,0,1,30.0,31,['avg_performance'],average_performance,orangered
65,total_investment.total_value,query_INVESTOR_OVERVIEW.total_value,,file_2,0,1,,30,total_value,total_value,aliceblue
66,query_INVESTOR_OVERVIEW.['total_value'],INVESTOR_OVERVIEW.total_investment_value,TYPE_CONVERSION(total_value),file_2,0,1,30.0,31,['total_value'],total_investment_value,orangered
