,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,deliveries.vendor_id,subquery_4.vendor_id,,file_4,0,1,42.0,41,vendor_id,vendor_id,aliceblue
1,subquery_4.vendor_id,query_VENDOR_PERFORMANCE_ANALYSIS.vendor_id,,file_4,0,1,41.0,48,vendor_id,vendor_id,aliceblue
2,deliveries.total_amount,subquery_4.total_amount,,file_4,0,1,42.0,41,total_amount,total_amount,aliceblue
3,subquery_4.['total_amount'],query_VENDOR_PERFORMANCE_ANALYSIS.total_spent,SUM(total_amount),file_4,0,1,41.0,48,['total_amount'],total_spent,orangered
4,product_reviews.product_id,subquery_3.product_id,,file_4,0,1,44.0,43,product_id,product_id,aliceblue
5,subquery_3.product_id,query_VENDOR_PERFORMANCE_ANALYSIS.product_id,,file_4,0,1,43.0,48,product_id,product_id,aliceblue
6,product_reviews.rating,subquery_3.rating,,file_4,0,1,44.0,43,rating,rating,aliceblue
7,subquery_3.['rating'],query_VENDOR_PERFORMANCE_ANALYSIS.avg_rating,AVG(rating),file_4,0,1,43.0,48,['rating'],avg_rating,orangered
8,d.delivery_id,subquery_2.delivery_id,,file_4,0,1,,45,delivery_id,delivery_id,aliceblue
9,subquery_2.delivery_id,query_VENDOR_PERFORMANCE_ANALYSIS.delivery_id,,file_4,0,1,45.0,48,delivery_id,delivery_id,aliceblue
10,products.product_name,subquery_2.product_name,,file_4,0,1,6.0,45,product_name,product_name,aliceblue
11,subquery_2.product_name,query_VENDOR_PERFORMANCE_ANALYSIS.product_name,,file_4,0,1,45.0,48,product_name,product_name,aliceblue
12,categories.category_name,subquery_2.category_name,,file_4,0,1,,45,category_name,category_name,aliceblue
13,subquery_2.category_name,query_VENDOR_PERFORMANCE_ANALYSIS.category_name,,file_4,0,1,45.0,48,category_name,category_name,aliceblue
14,delivery_items.unit_price,subquery_2.unit_price,,file_4,0,1,46.0,45,unit_price,unit_price,aliceblue
15,subquery_2.unit_price,query_VENDOR_PERFORMANCE_ANALYSIS.unit_price,,file_4,0,1,45.0,48,unit_price,unit_price,aliceblue
16,delivery_items.quantity_delivered,subquery_2.quantity_delivered,,file_4,0,1,46.0,45,quantity_delivered,quantity_delivered,aliceblue
17,subquery_2.quantity_delivered,query_VENDOR_PERFORMANCE_ANALYSIS.quantity_delivered,,file_4,0,1,45.0,48,quantity_delivered,quantity_delivered,aliceblue
18,deliveries.vendor_id,subquery_1.vendor_id,,file_4,0,1,42.0,47,vendor_id,vendor_id,aliceblue
19,subquery_1.vendor_id,query_VENDOR_PERFORMANCE_ANALYSIS.vendor_id,,file_4,0,1,47.0,48,vendor_id,vendor_id,aliceblue
20,deliveries.delivery_id,subquery_1.delivery_id,,file_4,0,1,42.0,47,delivery_id,delivery_id,aliceblue
21,subquery_1.delivery_id,query_VENDOR_PERFORMANCE_ANALYSIS.delivery_id,,file_4,0,1,47.0,48,delivery_id,delivery_id,aliceblue
22,deliveries.delivery_date,subquery_1.delivery_date,,file_4,0,1,42.0,47,delivery_date,delivery_date,aliceblue
23,subquery_1.delivery_date,query_VENDOR_PERFORMANCE_ANALYSIS.delivery_date,,file_4,0,1,47.0,48,delivery_date,delivery_date,aliceblue
24,deliveries.total_amount,subquery_1.total_amount,,file_4,0,1,42.0,47,total_amount,total_amount,aliceblue
25,subquery_1.total_amount,query_VENDOR_PERFORMANCE_ANALYSIS.total_amount,,file_4,0,1,47.0,48,total_amount,total_amount,aliceblue
26,vendors.vendor_id,query_VENDOR_PERFORMANCE_ANALYSIS.vendor_id,,file_4,0,1,50.0,48,vendor_id,vendor_id,aliceblue
27,query_VENDOR_PERFORMANCE_ANALYSIS.vendor_id,VENDOR_PERFORMANCE_ANALYSIS.vendor_id,,file_4,0,1,48.0,49,vendor_id,vendor_id,aliceblue
28,vendors.vendor_name,query_VENDOR_PERFORMANCE_ANALYSIS.vendor_name,,file_4,0,1,50.0,48,vendor_name,vendor_name,aliceblue
29,query_VENDOR_PERFORMANCE_ANALYSIS.vendor_name,VENDOR_PERFORMANCE_ANALYSIS.vendor_name,,file_4,0,1,48.0,49,vendor_name,vendor_name,aliceblue
30,vendors.contact_email,query_VENDOR_PERFORMANCE_ANALYSIS.contact_email,,file_4,0,1,50.0,48,contact_email,contact_email,aliceblue
