,index,SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,0,subscription_reviews.subscription_id,subquery_3.subscription_id,,json_data3,0,1,31.0,30,subscription_id,subscription_id,aliceblue
1,1,subscription_reviews.rating,subquery_3.avg_rating,AVG(rating),json_data3,0,1,31.0,30,rating,avg_rating,orangered
2,2,payments.subscription_id,subquery_2.subscription_id,,json_data3,0,1,8.0,32,subscription_id,subscription_id,aliceblue
3,3,payments.payment_date,subquery_2.payment_date,,json_data3,0,1,8.0,32,payment_date,payment_date,aliceblue
4,4,payments.payment_amount,subquery_2.payment_amount,,json_data3,0,1,8.0,32,payment_amount,payment_amount,aliceblue
5,5,payments.subscription_id,subquery_1.subscription_id,,json_data3,0,1,8.0,33,subscription_id,subscription_id,aliceblue
6,6,payments.payment_amount,subquery_1.total_spent,SUM(payment_amount),json_data3,0,1,8.0,33,payment_amount,total_spent,orangered
7,7,customers.customer_id,CUSTOMER_SUBSCRIPTION_DETAILS.customer_id,,json_data3,0,1,11.0,34,customer_id,customer_id,aliceblue
8,8,customers.first_name,CUSTOMER_SUBSCRIPTION_DETAILS.first_name,,json_data3,0,1,11.0,34,first_name,first_name,aliceblue
9,9,customers.last_name,CUSTOMER_SUBSCRIPTION_DETAILS.last_name,,json_data3,0,1,11.0,34,last_name,last_name,aliceblue
10,10,customers.email,CUSTOMER_SUBSCRIPTION_DETAILS.email,,json_data3,0,1,11.0,34,email,email,aliceblue
11,11,subscriptions.subscription_id,CUSTOMER_SUBSCRIPTION_DETAILS.subscription_id,,json_data3,0,1,35.0,34,subscription_id,subscription_id,aliceblue
12,12,subscriptions.subscription_date,CUSTOMER_SUBSCRIPTION_DETAILS.subscription_date,,json_data3,0,1,35.0,34,subscription_date,subscription_date,aliceblue
13,13,subscriptions.plan_name,CUSTOMER_SUBSCRIPTION_DETAILS.plan_name,,json_data3,0,1,35.0,34,plan_name,plan_name,aliceblue
14,14,subscriptions.plan_cost,CUSTOMER_SUBSCRIPTION_DETAILS.plan_cost,,json_data3,0,1,35.0,34,plan_cost,plan_cost,aliceblue
15,15,subscriptions.plan_duration,CUSTOMER_SUBSCRIPTION_DETAILS.plan_duration,,json_data3,0,1,35.0,34,plan_duration,plan_duration,aliceblue
16,16,subquery_1.total_spent,CUSTOMER_SUBSCRIPTION_DETAILS.total_spent,TYPE_CONVERSION(total_spent),json_data3,0,1,33.0,34,total_spent,total_spent,orangered
17,17,subquery_2.payment_date,CUSTOMER_SUBSCRIPTION_DETAILS.payment_date,,json_data3,0,1,32.0,34,payment_date,payment_date,aliceblue
18,18,subquery_2.payment_amount,CUSTOMER_SUBSCRIPTION_DETAILS.payment_amount,,json_data3,0,1,32.0,34,payment_amount,payment_amount,aliceblue
19,19,subscription_plans.plan_features,CUSTOMER_SUBSCRIPTION_DETAILS.plan_features,,json_data3,0,1,,34,plan_features,plan_features,aliceblue
20,20,subquery_3.avg_rating,CUSTOMER_SUBSCRIPTION_DETAILS.avg_review_rating,TYPE_CONVERSION(avg_rating),json_data3,0,1,30.0,34,avg_rating,avg_review_rating,orangered
