,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,market_data.market_date,subquery_5.market_date,,file_1,0,1,4,3,market_date,market_date,aliceblue
1,subquery_5.market_date,subquery_4.market_date,,file_1,0,1,3,5,market_date,market_date,aliceblue
2,trades.portfolio_id,subquery_4.portfolio_id,,file_1,0,1,6,5,portfolio_id,portfolio_id,aliceblue
3,subquery_4.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_1,0,1,5,12,portfolio_id,portfolio_id,aliceblue
4,trades.quantity,subquery_4.quantity,,file_1,0,1,6,5,quantity,quantity,aliceblue
5,subquery_4.quantity,query_INVESTOR_OVERVIEW.total_value,"SUM(MUL(trades.quantity, market_data.closing_price))",file_1,0,1,5,12,quantity,total_value,orangered
6,market_data.closing_price,subquery_4.closing_price,,file_1,0,1,4,5,closing_price,closing_price,aliceblue
7,subquery_4.closing_price,query_INVESTOR_OVERVIEW.total_value,"SUM(MUL(trades.quantity, market_data.closing_price))",file_1,0,1,5,12,closing_price,total_value,orangered
8,trades.portfolio_id,subquery_3.portfolio_id,,file_1,0,1,6,7,portfolio_id,portfolio_id,aliceblue
9,subquery_3.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_1,0,1,7,12,portfolio_id,portfolio_id,aliceblue
10,market_data.closing_price,subquery_3.closing_price,,file_1,0,1,4,7,closing_price,closing_price,aliceblue
11,subquery_3.closing_price,query_INVESTOR_OVERVIEW.avg_performance,AVG(market_data.closing_price),file_1,0,1,7,12,closing_price,avg_performance,orangered
12,trades.portfolio_id,subquery_2.portfolio_id,,file_1,0,1,6,8,portfolio_id,portfolio_id,aliceblue
13,subquery_2.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_1,0,1,8,12,portfolio_id,portfolio_id,aliceblue
14,dividends.dividend_amount,subquery_2.dividend_amount,,file_1,0,1,9,8,dividend_amount,dividend_amount,aliceblue
15,subquery_2.dividend_amount,query_INVESTOR_OVERVIEW.total_dividends,"SUM(MUL(dividends.dividend_amount, trades.quantity))",file_1,0,1,8,12,dividend_amount,total_dividends,orangered
